,content,score,time
163,"우리펜션 사이트에 있던 필터 기능이 다 빠져있네요. 침실, 화장실 개수나 편의시설 등이요. 더 사용자 친화적으래 개선됐음 합니다. 큰 펜션 찾기가 너무 힘들어요 :::",4,2019-08-12
164,예약은 간편하네요,5,2019-10-02
165,울릉도도있어서좋음,5,2019-12-28
166,좋아요 좀마니,5,2019-06-15
167,"개인사정으로 집이 천안인데 공부하러 목포로 갈때나 여행 갔을때 바로 근처에 무엇이 있는지 가격은 어떻게 되는지 비교하고 고를 수 있어서 편리하고, 다른 분이 이용하고 쓴 후기를 보고 신중하게 결정할 수 있었어요^^",5,2016-12-29
168,할인도되고 주변모텔이 잘나와요!!뜨밤 각쓰♡,5,2019-10-07
169,예약이 빠르고 편리하네요,4,2019-09-26
170,사진을 조금 더 사실적으로 남겨줬으면...,5,2018-12-15
171,굿,5,2019-02-06
172,완전 편리하게 쓰이고 좋아요♡♡,5,2016-04-10
173,굿,5,2019-04-04
174,좋은 곳 많이 알려 줌,4,2019-07-23
175,말이필요없어요 유사 어플보다 월등히 좋음 지나다니면 가맹점 천지고 굿,5,2018-04-28
176,여자친구랑 헤어짐... 다시 사귀면 5개주러옴...,1,2019-05-22
177,항상좋은정보 고마워유  이번업데이트 짱이네   디자인 개이쁨!   한눈에들어와서  편하네요.! 모텔소개뿐아니라 좋은 내용많네요ㅋ,5,2016-10-20
178,편리한 숙소를 한눈에 비교 검색하니 좋군요,5,2020-02-04
179,필요할 때 쉽게 찾을수 있어요.,5,2018-11-04
180,가격 댸가 낮고 시설 죻은 곳도 많은데 그즁의 일부만 올라 와 있는 것 같아서 죰 아깝 네요 ㅠ ;,3,2011-07-04
181,좋아요,5,2018-09-27
182,조아요,5,2019-09-27
183,굿,4,2019-08-15
184,좋타,5,2020-02-12
185,편하구만 편해해해해해,4,2019-02-25
186,좋아요~잘 이용하고 있슴당,4,2018-07-23
187,해택이 좋은거 같네요~^^,5,2020-01-08
188,좋아요 정보많아요,5,2021-05-31
189,좋아요!,5,2019-06-22
190,엄청편해옇ㅎ,5,2019-08-22
191,업뎃 할수록 구려지네요 뭔 로딩만 계속하고 재시도재시도 앱 삭제했습니다.,1,2016-08-13
192,좋아요,5,2019-09-13
193,굳 좋아요,5,2017-10-22
194,하니가 예쁨,5,2018-10-19
195,좋앗ㆍㅅㆍㅅㆍㅅㆍ,5,2020-06-09
196,다른거 다 버려,5,2014-05-07
197,체고,5,2019-06-05
198,편하게 싸게 사용할 수 있어서 좋아요,5,2022-04-07
199,좋군,5,2019-03-03
200,굳 쿠폰조아요 ㅎㅎ휴가때싸요,5,2019-07-23
201,편하네요^^,5,2019-03-13
202,여러번 사용해도 야놀자!,4,2019-06-05
203,굿,5,2015-04-23
204,좋딘좋아 굿굿,5,2019-03-12
205,좋네요,5,2018-09-16
206,이거뿐이없잔아? 아냐? 하하하하하,5,2019-01-05
207,좋아요,5,2019-02-19
208,좋아요,5,2020-01-14
209,예약 단위도 좀 한두 달 정도 가능하게 해 주세요.,3,2016-12-13
210,편리하고 좋아요,5,2018-09-02
211,뭐 할말이 있나여 최고지,5,2018-10-21
212,짱좋아요 진짜 ㅎㅎ,5,2015-07-17
213,스파좋아요,5,2020-04-14
214,괜찮아요 굿,5,2016-07-22
215,굿,5,2021-09-09
216,평일에 아무지장없이 잘되는데 주말만되면 버벅거리고 방예약하기가 너무 힘드네요ㅠㅠ,3,2016-07-02
217,빵쌍빵쌍 라랄라라랄,3,2022-06-08
218,ㅎㅎㅎㅎ 한번씩 잘쓰고있음돠,4,2020-08-01
219,쿠폰코드를 어디서 주는거에요 대체,3,2015-07-22
220,굿,5,2015-12-26
221,세일좋음,5,2019-04-21
222,좋아요,5,2022-05-29
223,좋아요!!,5,2016-03-05
224,저에겐 유용한 어플입니다. 이 어플 알기전엔 그냥 아무데나 가까운데 가격도비싸고 이쁘지도않은 아무데나 막갔었는데 이거 쓴 후로는 내가가고싶은곳 그리고 가격은 얼만지 아 참 만원 싸게가거나 그런데도많았고 암튼 미리보고 어디에위치했는지 알고갈수있어서 좋아요 항상 수고하세요~,4,2017-07-23
225,편함,5,2019-11-11
226,늘 믿고 갑니다,5,2018-11-26
227,좋아요 유용함,5,2018-12-21
228,좋아요~ 편해요!,5,2016-12-19
229,숙소 예약이 좋아요,5,2021-04-02
230,"현장결제보다 저렴하고, 차이앱 다운만 받고 결제하면 자동할인10퍼 되서 굉장히 좋네요",5,2020-02-08
231,몇개 비슷한 앱을 깔았는데 저는 이앱이 제일 보기 편해서 이앱만 쓰고있습니다. 나이드니 복잡한게 보이는건 싫네요ㅎ,5,2020-09-23
232,간편하고 보기편하고 최고에요,5,2018-11-06
233,굿이네요,4,2015-10-29
234,좋아요~^^,5,2021-03-04
235,내주변 리스트에서 맨밑 하단부 잘리구여 모텔 눌러서 들어가면 공지사항 이용시간 어쩌고 그 메뉴들 맨 밑의 것들도 잘려요 수정 해주세요,3,2013-10-05
236,좋아요,5,2017-05-25
237,쓸만합니다,4,2015-05-11
238,응원,5,2015-10-16
239,좋아요,5,2019-08-24
240,빠르고 편하고,5,2020-06-01
241,좋아요!,3,2019-05-22
242,굳,5,2018-08-20
243,좋습니다,5,2018-02-25
244,후기가 도움이 많이되고 예약이 간편해서 좋습니다.,5,2019-08-24
245,제일 간편해서 좋아요,5,2017-08-11
246,숙박어플중 오랫동안 최고를 지켜온 이유가 분명이 있습니다,5,2018-08-04
247,타 어플 비교 해서 굿,5,2017-10-06
248,저렴한 가격을 비교해 숙박할 수 있어 좋습니다^^,5,2021-03-14
249,굿,5,2019-07-19
250,사용하기편함,4,2018-09-09
251,제 GPS 기기가 고장나서 제대로 안잡히는데 그거때문에 그런지 야놀자 어플이 자꾸 GPS 멋대로 키고 계속 위치검색합니다 뭐 GPS 안고장나도 그러는진 모르겠네요. 배터리 자꾸 많이 잡아먹어서 결국 지웁니다 수정해주세요.,3,2016-04-17
252,말이필요없음,5,2018-09-12
253,정말 최고의 숙박예약앱,5,2017-04-22
254,굿굿,5,2018-06-27
255,간편하고좋아요,5,2020-07-11
256,싸고좋다,5,2021-03-18
257,굿굿,5,2020-05-21
258,편해요.,5,2022-01-08
259,야놀자 장바구니의 담아서 원하는 날짜에 예약했는데 엉뚱하게 당일예약되는데도 불구하고 시스템상의 문제 없는거라면서 고객 잘못이니 50%만 환불 해주겠다고함 그것도 재예약이라는 조건을 내세움 내가 돈이 아까워서 다시 재예약하고 사용 하겠지만 다른분들을 야놀자 이용 다시 한번 생각해 보세요 더 좋은 어플들 진짜 많습니다,1,2021-07-26
260,간단하게 사용할 수 있어요.,5,2020-09-14
261,다양하게 많아서 선택폭이 넓어 좋네요.,5,2019-07-13
262,다좋은데 마이룸 2만원쿠폰 사용하려니 이전에는 그나마 오후8시까지라도 됬는데 지금은 6시퇴실이네요;;;이건 사용하지말라는  뜻인듯 해서  뭐하러 열심히 3번채웠나 싶어요,4,2018-02-27
263,좋네요,4,2017-03-28
264,좋아요,5,2018-06-16
265,편함,5,2022-03-10
266,"보기 편하고, 평점관리 좋음",5,2019-10-13
267,ㄹ,4,2016-07-18
268,싸고 편하고 좋아용,5,2019-01-28
269,좋아요,5,2021-02-03
270,마음에 들어요,5,2018-02-08
271,굿,5,2015-10-09
272,좋아요,5,2019-05-04
273,굿,5,2018-08-14
274,이건 필수다,5,2018-11-28
275,좋아요..,5,2019-09-28
276,캐시워크때문에개꿀,1,2017-10-08
277,모던게 넓고 마음 편할것 같아요  ?,5,2015-05-23
278,다른어플보다좋다,5,2019-05-17
279,잇츠굳 프리비엣,5,2017-12-20
280,여행갈때 필수 앱!,5,2022-04-25
281,좋아요~~~~~~~,5,2019-08-17
282,솔직후기가많다고해서 가입했음~@,5,2017-11-08
283,간단하고 좋아요,5,2018-07-21
284,자주 보는편인데 좋아요...,5,2017-06-29
285,뭔 지역 선택만 하면 앱이 자꾸 중지 돼서 아무것도 못 하겠네요;; 안드로이든데 기기 자체나 앱을 업데이트 해도 안 되고 빨리 개선하세요; 1시간째 시름하다가 안 돼서 다른 앱 받으러 갑니다.,1,2019-07-19
286,좋아요!,5,2017-05-18
287,오래 전부터 알고 있었고 사용해보니 좋습니다,5,2017-08-12
288,굿,4,2019-12-15
289,편하고 좋아요,5,2019-06-30
290,우와 너무 좋아여 .. 알바아니고 진쨬ㅋㅋ,5,2018-07-16
291,좋습니다~,5,2020-07-13
292,좋아요.,5,2019-10-16
293,"취소 수수료 잘보세요! 변경시에도 수수료 다 물어야 합니다. 펜션 주인이 변경 동의해도 마찬가지에요, 직접 펜션에 전화해서 예약하는게 훨씬 좋습니다.",1,2021-05-04
294,원하는조건으로 볼수있어서좋음,5,2018-06-01
295,매우좋음,5,2019-11-17
296,조아조인,5,2014-04-09
297,좋아욤 ㅋㅋㅋㅋ,5,2020-01-02
298,좋아여,5,2015-08-01
299,에~~~~,5,2014-11-25
300,어플 잘만들어서 야놀자 돈벌더니.. 야자 얌 체인까지생기고... 이거땜에 괜찮았던곳들 몇몇군데가 사라져서 좀 아쉬워요ㅡ,3,2013-01-31
301,진짜 좋아요!,5,2018-03-11
302,좋은거같습니다.,4,2017-07-21
303,오늘가입했는데 회원인증 할때 그냥보여주면끝인가요??  아님 저거인증번호 보여주면뭐 제회원정보뜨거나그러는거아니죠?,4,2014-08-14
304,안드로이드에선 사용하기 쉽네요~,5,2019-09-06
305,"다른건 정말 다 좋았는데... 객실 대실 이용시간이6시간이라고어플에써져있었지만예약하고 체크인을하려고하니5시간이라고말을하셔서 
야놀자에서는6시간이라고말씀드렸더니 야놀자 측에서 변경이안된거라고말씀하시네요 출근이 야간이라 시간을맞게 일부러 6시간대실을 예약한건데 
야놀자에서 변경되지않은 사항을 체크인할때 들으니 시간도손해고 기분도 영 찝찝하네요",3,2018-08-10
306,바로 예약 편함 바로예약이랑 야놀자랑 왔다갔다 해야할때가 있음 불편함  합쳤으면 좋겠음,4,2017-01-25
307,좋아요,5,2020-07-30
308,좋당ㅎㅎ,5,2019-01-05
309,최고에요!,5,2019-12-26
310,여기어때보단 확실히 할인 많은듯,5,2020-09-17
311,솔직한 의견으로는 야놀자만큼 좋은 정보공유 해주는 곳은 몇없을거에요 쿠폰지원도 팡팡!! 여행을 좋아해서 매번 야놀자를 사용하게 되는거같아요. 다른 분 들도 사용해보세요ㅎㅎ,5,2018-08-26
312,좋아요,5,2020-01-25
313,예약이 편리합니다,5,2020-07-14
314,좋아요,5,2018-04-12
315,너무좋아요 잘사용하고있어요!,5,2019-04-29
316,편하고 좋아요,5,2019-12-18
317,굳굳,5,2015-07-09
318,진짜편하네요ㅎ,5,2019-03-07
319,괜찮은 어플,5,2017-05-29
320,굳,5,2019-04-17
321,Good!!,5,2017-03-30
322,좋아요 아주ㅜ좋아요 ㅎㅎ,5,2018-12-06
323,좋아요,4,2019-04-24
324,사용하기편해요,5,2020-10-26
325,짠짱,5,2020-07-25
326,후기가 있으니까 믿고 안심할 수 있고 가격비교나 위치 비교하기도 참 좋아요???????????? 할인도 많이 줘서 이번에 총 8500원 할인받고 숙소 예약했습니당:),5,2019-02-13
327,뭐 두발하면 잔소리 굳,5,2018-02-12
328,이어플히나면 충분하네요. 좋아요~~,5,2015-04-25
329,재밌당!!,5,2015-06-05
330,예약이 편리하고 저렴한 가격에 수박이 가능~,5,2020-11-23
331,짱좋아요!,5,2017-07-31
332,정말좋아요,5,2019-04-08
333,야놀자  잘사용할께요,5,2015-03-18
334,좋음,5,2019-02-18
335,굿굿,5,2015-07-31
336,편해요,5,2021-05-27
337,좋음,4,2019-02-10
338,좋아요,5,2018-10-31
339,최고아닙니까??,5,2015-04-06
340,조아요 ^^! 할인도 잘되고 편하고 좋네요,5,2018-12-18
341,굿,4,2019-03-28
342,굿,5,2019-02-27
343,사용하기가 너무 편리하고 좋아요~,5,2019-05-19
344,사용하기 편하고 할인도 많이 되네요!!,5,2021-10-07
345,좋습니다,5,2019-10-03
346,간편해영,5,2019-07-10
347,자주 이용하는데 편하고 좋아요 할인받아 결자할수있어 더 유익하네요,5,2019-12-03
348,간편합니다,5,2021-03-19
349,항상 잘쓰고있음,5,2019-10-23
350,굿,5,2019-07-26
351,최고,5,2017-06-06
352,정말편하게 숙박문제해결했네여 ㅎㅎ,5,2015-10-13
353,좋아요,5,2018-07-02
354,저렴하고 괜찮은 방들 예약하기 편하고 좋네요!,5,2021-04-06
355,네비도 잘되있고 후기도 있어 이용에 불편함이 없네여 굿입니다,5,2018-06-28
356,아주 조아용 ㅎㅎㅎ,5,2015-08-12
357,쿠폰도 매월주고 이벤트도 있고 좋아요,5,2018-10-16
358,말할꺼 없지 아니한가 ㅋㅋ,5,2016-12-06
359,지역별보기에서 왜 경기도가 선택조차안되죠...?,2,2015-09-11
360,잘 사용하는 어플인데 오늘 로그인도 안되고 검색도 안되고.. 얼른 복구 부탁드려요 오늘 숙박 구해야 되는데ㅜㅜ 못하고 있어요,5,2018-11-22
361,숙박예약하기도 넘 편하고 깔끔한 숙박업처도많아요 가끔씩하는이벤트로 쏘쏠하게 잼이도볼수 있는어플이네요 덕분에 편안하고잼있게잘이용하고 있답니다 ㅎㅎ 또 이요ㅇ해야겠어요 ㅋ,5,2017-01-25
362,숙박 앱으로는 정말최고입니다,5,2015-05-21
363,좋아용,5,2017-10-12
364,"다른 어플구경하다가도 할인쿠폰이 이렇게 다양하게 있는 건 야놀자밖에 없는 듯. 그래서 없는 숙소나 가격비교할때만 다른 어플 같이쓰고 
결제는 항상 야놀자로 쿠폰할인 다 받아서 저렴하게함!! 그리고 조건 여러개 설정할 수 있는것도 다양해서 너무 좋은듯!! 근데 공유하기 
기능 없어진게 너무 아쉬움ㅠㅠ 같이 가는 친구끼리 방공유하면서 바로 볼수있는게 큰매력중에 하나였는데ㅠㅠ",5,2018-06-09
365,예약취소불가 계속 인증에러 5만원 처드세요 이어플 안쓰고 내주위 모든 사람들 안쓰게 만듭니다,1,2018-06-15
366,자주 애용합니다. 너무 좋아요~~ 넷플이랑 커플스파 이런거 검색할수 있으면 더 좋겠어요!!!,5,2022-06-16
367,이벤트 짱! 저렴하게 예약했어요!,5,2017-04-04
368,말해뭐해.좋은거 알면서...,5,2022-06-29
369,에러 없고 지도 편리,5,2022-05-19
370,여기어때랑 가격비교해서 쓰는데 더 좋은거 같아요,5,2020-06-19
371,좋아요~^^,5,2020-04-07
372,좋아요~~~야놀자,5,2022-03-21
373,"앱 사용이 간편하고 가격도 저렴하고 포인트 혜택, 이벤트가 많아서 좋습니다.",5,2018-01-30
374,좋네요,5,2017-01-19
375,넘 조하요,5,2019-03-23
376,굿,5,2015-09-24
377,참신하고 어디 여행할때 숙소 예약이 편리하다,5,2017-04-06
378,야놀자 좋아요,5,2015-03-18
379,굿,5,2020-11-14
380,출장갈 때 자주 써요~,5,2018-10-31
381,빠른 결제와 폭 넓은 할인 혜택이 좋아욯ㅎ,5,2020-03-28
382,가격이저렴해용짱짱,5,2020-02-09
383,좋아요오오옹~,5,2018-01-19
384,좋앙ㆍ느,5,2019-10-31
385,말이필요없음,5,2017-11-30
386,좋아요,5,2016-06-03
387,ㅇㅇ9시까지 먹통,1,2016-08-13
388,편리해요,5,2022-07-06
389,기대 만땅 입니다.,4,2017-08-03
390,편리하고 정말 싸다,5,2020-03-24
391,ㄱ디디딛ㄱㅈㄱㅈㄱㄱ,5,2019-09-17
392,편리해요,4,2019-12-05
393,너무 좋고 진짜 가격도깎아주고 여러모로좋아요~~,5,2015-10-30
394,야놀자 앱 덕분에 모든 정보를 빠르게 볼 수 있어요ㅇㅅㅇ* 심심할때 들어가보면 이벤트도 가득! 완전 좋아용ㅠㅅㅠ♡,5,2015-03-30
395,최근 야놀자 어플이용해서 모텔 이용한적있냐 물어보고 야놀자 어플을 다운받음과 동시에 그핸드폰의 전화번호부를 전부 해킹했다고 하는 보이스피싱이 많이있는거 같습니다 그 후 자기들이 야놀자 제휴모텔에 카메라를 설치해 본인의 얼굴등 전부 노출된 동영상을 가지고 있다고 협박을합니다 저는 야놀자어플을 1번밖에사용안했고 언젠지도 기억이 안날정도로 옛날에사용해서 피해를 막을수있었지만 평소에 많이 이용하는 분들은 느닷없이 그런전화받으면 머리가 새하얘지고 아무생각도안들꺼라 생각합니다 저또한도 그순간엔 머리가 새하얘지고 가슴이 쿵쾅거렸지만 한번밖에이용을 안해서 바로 정신차려 피해를 막을수 있었습니다 그자식들 조선족 아닙니다 한국인입니다 어디서 제번호를 알았는진 모르겠지만 그전화받고 기분나빠서 폰번호도 바꿧습니다. 다들 사기안당하게 조심하세요,3,2018-11-30
396,숙소나 여행갈때 펜션 호텔 알아보기 넘 좋고 쿠폰도 많이 줘서 저렴하고 짱좋아여,5,2021-11-21
397,굿,5,2016-09-23
398,좋아요,4,2017-11-09
399,싸고 편리하게 잘 사용하고 있네요,5,2015-09-25
400,완전 굿,5,2019-08-10
401,다른앱보다 싸고 정보도 많아요,5,2019-01-03
402,잘자다감,3,2016-01-20
403,굳굳,4,2019-06-13
404,솔직히 예약어플중 최고임,5,2017-08-08
405,좋아요,5,2022-05-15
406,"편리함, 저렴함",4,2019-05-22
407,설문 물어보는 창 좀 띄우지말길.,2,2019-12-13
408,검색이 쉬움,5,2022-04-18
409,좋아요!!괜찮네요,4,2019-06-26
410,할인혜택도 받고 가족여행시에도 정말 좋아요,5,2019-05-02
411,호텔사이트비교했을때 야놀자는쿠폰도 많고 포인트사용도 좋아서 훨신 싸고 카드제휴 할인까지 중복적용되서 너무 좋네요^^,5,2020-07-15
412,숙박을 아무곳에서나 하는게 아니라 사람들 후기보고 결정 할 수 있어서 좋아요.,5,2015-04-22
413,감사합니다 잘받았습니다 저렴한 가격에 좋은품질 빠른배송 굿입니다 안녕하세요 이웃님들 안녕하세요,5,2020-04-08
414,너무 좋다~~,5,2014-11-25
415,간편하게 숙박예약하기 좋아요,5,2019-11-01
416,굳,5,2019-04-21
417,좋아요,4,2021-09-23
418,좋아욯,5,2019-09-14
419,^^,5,2015-04-30
420,가입후 처음 예약해봅니다~결제도 쉽고 굳!!,5,2019-02-20
421,아주잘쓰고있어요 다른숙박앱말고계속이것만쓸수있게단골할인이나쿠폰같은거계속주세요,4,2018-01-29
422,"나쁘지않았고, 픽업서비스라던지 대중교통을 이용하는 분들을 위한 필터가 따로있어서 사용하기 편리했습니다",5,2017-08-09
423,굿,5,2018-10-25
424,좋음,5,2018-02-25
425,좋아요! 유용하게 잘 쓰고 있습니다,5,2018-02-19
426,숙박업소 예약할 때 항상 이 어플 사용합니다 검색하기 좋아요,5,2018-03-06
427,개꿀띠너무편해요,5,2020-08-29
428,좋습니다. 할인도 많구,5,2018-05-05
429,생각보다 너무좋아요,4,2017-04-30
430,간편한거같습니다,5,2017-08-14
431,최특가야놀자 굳,5,2021-09-18
432,할인등이 많아 좋아요,5,2021-11-04
433,괜찮긴한데 적립금이 결제한 금액에 비해선 적은듯...,3,2016-08-20
434,할인도많고 좋아요,5,2021-11-19
435,첨써봤는데넘좋네요 싼가격에 퀄리티있는방!!,5,2018-02-18
436,b,4,2015-08-17
437,할인도 잘되고 좋음,5,2019-12-12
438,좋습니다.~!,5,2019-02-14
